Subject,Question,Option A,Option B,Option C,Option D,Correct Answer,Cluster
English,Choose the correct synonym of 'Happy.',Glad,Sad,Angry,Tired,A,4
English,Which of the following is grammatically correct?,He go to school yesterday,He goes to school yesterday,He went to school yesterday,He gone to school yesterday,C,2
English,Fill in the blank: She ___ a book when I entered.,was reading,is reading,reads,read,A,0
English,Choose the word that is opposite in meaning to 'Generous.',Kind,Stingy,Helpful,Polite,B,5
English,Which of these sentences is in passive voice?,The boy kicked the ball,The ball was kicked by the boy,The boy is kicking the ball,The boy kicks the ball,B,2
English,"What is the correct indirect speech? He said ""I am tired.""",He said he is tired,He said he was tired,He said I am tired,He said that he tired,B,0
English,Select the correct option: Neither the teacher nor the students ___ present.,was,were,is,be,B,0
English,Find the correct spelling.,Enviroment,Environment,Environement,Envaironment,B,1
English,Choose the antonym of 'Brave.',Fearful,Strong,Courageous,Bold,A,4
English,Which sentence is correct?,He don’t like rice,He doesn’t like rice,He didn’t likes rice,He doesn’t likes rice,B,2
English,Fill in the blank: They ___ going to school now.,is,are,was,were,B,0
English,Choose the correct synonym of 'Big.',Huge,Small,Tiny,Little,A,4
English,Which of these is an adjective?,Quickly,Beautiful,Running,Happily,B,3
English,Choose the opposite of 'Truthful.',Honest,Deceitful,Sincere,Faithful,B,5
English,Which sentence is in the future tense?,I go to school,I am going to school,I will go to school,I have gone to school,C,2
English,Choose the correct option: The dog ___ by the gate.,sit,sits,sat,setting,B,0
English,Which of these words is a noun?,Play,Run,Chair,Jump,C,3
English,Choose the synonym of 'Quick.',Fast,Slow,Late,Weak,A,4
English,Fill in the blank: He ___ playing football when I called.,is,was,were,be,B,0
English,Choose the opposite of 'Cold.',Hot,Chilly,Freezing,Cool,A,4
English,Which is the correct comparative form?,Gooder,More good,Better,Best,C,4
English,Select the correct spelling.,Accomodation,Acommodation,Accommodation,Acomodation,C,1
English,Choose the synonym of 'Angry.',Mad,Calm,Happy,Relaxed,A,4
English,Which sentence is correct?,The boys is running,The boy are running,The boys are running,The boy running,C,2
English,Fill in the blank: I prefer tea ___ coffee.,than,over,to,with,C,4
English,Choose the opposite of 'Rich.',Wealthy,Prosperous,Poor,Affluent,C,5
English,Which of these is an adverb?,Slow,Slowly,Slowness,Slowed,B,7
English,Select the correct option: The children ___ playing in the park.,is,are,was,be,B,0
English,Choose the synonym of 'Difficult.',Easy,Hard,Simple,Light,B,4
English,Which sentence is correct?,He can sings,He can sing,He cans sing,He sing,B,2
English,Fill in the blank: She ___ never been late.,have,had,has,is,C,0
English,Choose the opposite of 'Polite.',Rude,Gentle,Respectful,Courteous,A,5
English,Which word is a verb?,Table,Beauty,Run,Chair,C,3
English,Select the correct option: The boy ___ to school every day.,go,goes,going,gone,B,0
English,Choose the synonym of 'Fast.',Quick,Slow,Late,Tired,A,4
English,Which sentence is past perfect?,He had eaten before I arrived,He eats every day,He was eating when I came,He has eaten already,A,6
English,Fill in the blank: They ___ finished their work.,has,have,had,is,B,0
English,Choose the opposite of 'Friend.',Companion,Enemy,Partner,Colleague,B,5
English,Which is the correct spelling?,Definately,Definitely,Definetly,Definantly,B,1
English,Select the synonym of 'Intelligent.',Clever,Dull,Foolish,Stupid,A,4
English,Which sentence is correct?,He don’t know,He doesn’t know,He didn’t knows,He doesn’t knows,B,2
English,Fill in the blank: The bag ___ on the table.,is,are,were,be,A,0
English,Choose the opposite of 'Win.',Lose,Gain,Success,Victory,A,5
English,Which is an adjective?,Quickly,Happy,Run,Laugh,B,3
English,Choose the synonym of 'Beautiful.',Pretty,Ugly,Awful,Bad,A,4
English,Which sentence is future continuous tense?,I will be reading,I have read,I am reading,I read,A,6
English,Fill in the blank: He has lived here ___ 2010.,since,for,by,from,A,0
English,Choose the opposite of 'Light.',Heavy,Weight,Soft,Thin,A,5
English,Choose the synonym of 'Calm.',Peaceful,Angry,Loud,Noisy,A,4
English,Which sentence is correct?,He were late,He was late,He am late,He is late,B,2
English,Fill in the blank: We ___ waiting for you.,was,is,are,be,C,0
English,Choose the opposite of 'Tall.',Short,High,Long,Big,A,5
English,Which is the correct spelling?,Succes,Success,Sucsses,Sucess,B,1
English,Choose the synonym of 'Quick.',Fast,Slow,Lazy,Weak,A,4
English,Which sentence is present perfect?,She has eaten,She eats,She is eating,She ate,A,2
English,Fill in the blank: He ___ playing football now.,is,was,are,were,A,0
English,Choose the opposite of 'Happy.',Sad,Glad,Joyful,Cheerful,A,5
English,Which is an adverb?,Quickly,Fast,Strong,Happy,A,7
English,Choose the synonym of 'Begin.',Start,End,Finish,Stop,A,4
English,Which sentence is correct?,She doesn’t likes apples,She doesn’t like apples,She don’t like apples,She not like apples,B,2
English,Fill in the blank: The sun ___ in the east.,rise,rose,rises,rising,C,0
English,Choose the opposite of 'Cheap.',Expensive,Low,Little,Small,A,5
English,Which is the correct spelling?,Goverment,Governmment,Government,Govarnment,C,1
English,Choose the synonym of 'End.',Finish,Start,Begin,Open,A,4
English,Which sentence is past continuous?,She was cooking dinner,She cooks dinner,She is cooking dinner,She has cooked dinner,A,6
English,Fill in the blank: I ___ never seen him before.,am,was,have,had,C,0
English,Choose the opposite of 'Love.',Hate,Liking,Care,Passion,A,5
English,Which is a noun?,Play,Table,Run,Go,B,3
English,Choose the synonym of 'Silent.',Quiet,Loud,Noisy,Harsh,A,4
English,Which sentence is correct?,He goes school,He goes to school,He go to school,He going school,B,2
English,Fill in the blank: We ___ finished our homework.,have,has,had,is,A,0
English,Choose the opposite of 'Strong.',Weak,Tough,Powerful,Hard,A,4
